 .gitattributes                                     |   11 +
 .../php/PDepend/Source/AST/ASTListExpression.php   |   14 +-
 src/main/php/PDepend/Source/AST/ASTLiteral.php     |   16 +-
 .../PDepend/Source/AST/ASTLogicalAndExpression.php |   14 +-
 .../PDepend/Source/AST/ASTLogicalOrExpression.php  |   14 +-
 .../PDepend/Source/AST/ASTLogicalXorExpression.php |   14 +-
 .../PDepend/Source/AST/ASTMemberPrimaryPrefix.php  |   16 +-
 src/main/php/PDepend/Source/AST/ASTMethod.php      |   20 +-
 .../php/PDepend/Source/AST/ASTMethodPostfix.php    |   14 +-
 src/main/php/PDepend/Source/AST/ASTNamespace.php   |   67 +-
 src/main/php/PDepend/Source/AST/ASTNode.php        |  432 +-------
 src/main/php/PDepend/Source/AST/ASTParameter.php   |   32 +-
 .../php/PDepend/Source/AST/ASTParentReference.php  |   22 +-
 .../PDepend/Source/AST/ASTPostfixExpression.php    |   14 +-
 .../Source/AST/ASTPreDecrementExpression.php       |   14 +-
 .../Source/AST/ASTPreIncrementExpression.php       |   14 +-
 .../php/PDepend/Source/AST/ASTPrintExpression.php  |   76 ++
 src/main/php/PDepend/Source/AST/ASTProperty.php    |   46 +-
 .../php/PDepend/Source/AST/ASTPropertyPostfix.php  |   16 +-
 .../PDepend/Source/AST/ASTRequireExpression.php    |   14 +-
 .../php/PDepend/Source/AST/ASTReturnStatement.php  |   14 +-
 .../{ASTPrimitiveType.php => ASTScalarType.php}    |   21 +-
 src/main/php/PDepend/Source/AST/ASTScope.php       |   16 +-
 .../php/PDepend/Source/AST/ASTScopeStatement.php   |   14 +-
 .../php/PDepend/Source/AST/ASTSelfReference.php    |   31 +-
 .../PDepend/Source/AST/ASTShiftLeftExpression.php  |   12 +-
 .../PDepend/Source/AST/ASTShiftRightExpression.php |   12 +-
 src/main/php/PDepend/Source/AST/ASTStatement.php   |   16 +-
 .../php/PDepend/Source/AST/ASTStaticReference.php  |   16 +-
 .../Source/AST/ASTStaticVariableDeclaration.php    |   14 +-
 src/main/php/PDepend/Source/AST/ASTString.php      |   16 +-
 .../Source/AST/ASTStringIndexExpression.php        |   14 +-
 src/main/php/PDepend/Source/AST/ASTSwitchLabel.php |   18 +-
 .../php/PDepend/Source/AST/ASTSwitchStatement.php  |   10 +-
 .../php/PDepend/Source/AST/ASTThrowStatement.php   |   14 +-
 src/main/php/PDepend/Source/AST/ASTTrait.php       |   20 +-
 .../php/PDepend/Source/AST/ASTTraitAdaptation.php  |   14 +-
 .../PDepend/Source/AST/ASTTraitAdaptationAlias.php |   12 +-
 .../Source/AST/ASTTraitAdaptationPrecedence.php    |   14 +-
 .../AST/ASTTraitMethodCollisionException.php       |   12 +-
 .../php/PDepend/Source/AST/ASTTraitReference.php   |   16 +-
 .../PDepend/Source/AST/ASTTraitUseStatement.php    |   20 +-
 .../php/PDepend/Source/AST/ASTTryStatement.php     |   14 +-
 src/main/php/PDepend/Source/AST/ASTType.php        |   21 +-
 src/main/php/PDepend/Source/AST/ASTTypeArray.php   |   14 +-
 .../php/PDepend/Source/AST/ASTTypeCallable.php     |   12 +-
 .../php/PDepend/Source/AST/ASTUnaryExpression.php  |   14 +-
 .../php/PDepend/Source/AST/ASTUnsetStatement.php   |   14 +-
 src/main/php/PDepend/Source/AST/ASTValue.php       |   10 +-
 src/main/php/PDepend/Source/AST/ASTVariable.php    |   16 +-
 .../PDepend/Source/AST/ASTVariableDeclarator.php   |   16 +-
 .../php/PDepend/Source/AST/ASTVariableVariable.php |   14 +-
 .../php/PDepend/Source/AST/ASTWhileStatement.php   |   14 +-
 .../php/PDepend/Source/AST/ASTYieldStatement.php   |   14 +-
 .../php/PDepend/Source/AST/AbstractASTArtifact.php |   83 +-
 .../php/PDepend/Source/AST/AbstractASTCallable.php |  109 +-
 .../Source/AST/AbstractASTClassOrInterface.php     |   33 +-
 .../php/PDepend/Source/AST/AbstractASTNode.php     |  471 ++++++++
 .../php/PDepend/Source/AST/AbstractASTType.php     |  111 +-
 src/main/php/PDepend/Source/AST/State.php          |    6 +-
 .../PDepend/Source/ASTVisitor/ASTVisitListener.php |   46 +-
 .../php/PDepend/Source/ASTVisitor/ASTVisitor.php   |   28 +-
 .../Source/ASTVisitor/AbstractASTVisitListener.php |   50 +-
 .../Source/ASTVisitor/AbstractASTVisitor.php       |   70 +-
 src/main/php/PDepend/Source/Builder/Builder.php    |  285 ++---
 .../php/PDepend/Source/Builder/BuilderContext.php  |   32 +-
 .../BuilderContext/GlobalBuilderContext.php        |   28 +-
 .../Source/Language/PHP/AbstractPHPParser.php      | 1163 ++++++++++++--------
 .../php/PDepend/Source/Language/PHP/PHPBuilder.php |  352 +++---
 .../Source/Language/PHP/PHPParserGeneric.php       |  238 +---
 .../Source/Language/PHP/PHPParserVersion53.php     |  102 ++
 .../Source/Language/PHP/PHPParserVersion54.php     |  296 +++++
 .../Source/Language/PHP/PHPParserVersion55.php     |   56 +
 .../Source/Language/PHP/PHPParserVersion56.php     |  356 ++++++
 .../Source/Language/PHP/PHPParserVersion70.php     |  540 +++++++++
 .../Source/Language/PHP/PHPParserVersion71.php     |  128 +++
 .../Language/PHP/PHPTokenizerHelperVersion52.php   |   10 +-
 .../Source/Language/PHP/PHPTokenizerInternal.php   |  233 +++-
 .../Source/Parser/InvalidStateException.php        |   10 +-
 .../Source/Parser/MissingValueException.php        |    6 +-
 .../Source/Parser/NoActiveScopeException.php       |   58 +
 .../php/PDepend/Source/Parser/ParserException.php  |    6 +-
 src/main/php/PDepend/Source/Parser/SymbolTable.php |   83 +-
 .../php/PDepend/Source/Parser/TokenException.php   |   11 +-
 src/main/php/PDepend/Source/Parser/TokenStack.php  |   12 +-
 .../Source/Parser/TokenStreamEndException.php      |    6 +-
 .../Source/Parser/UnexpectedTokenException.php     |   10 +-
 src/main/php/PDepend/Source/Tokenizer/Token.php    |   16 +-
 .../php/PDepend/Source/Tokenizer/Tokenizer.php     |   85 +-
 src/main/php/PDepend/Source/Tokenizer/Tokens.php   |   28 +-
 src/main/php/PDepend/TextUI/Command.php            |   62 +-
 src/main/php/PDepend/TextUI/ResultPrinter.php      |   26 +-
 src/main/php/PDepend/TextUI/Runner.php             |   36 +-
 src/main/php/PDepend/Util/Cache/CacheDriver.php    |   28 +-
 src/main/php/PDepend/Util/Cache/CacheFactory.php   |   16 +-
 .../Util/Cache/Driver/File/FileCacheDirectory.php  |   28 +-
 .../Driver/File/FileCacheGarbageCollector.php      |  144 +++
 .../PDepend/Util/Cache/Driver/FileCacheDriver.php  |   70 +-
 .../Util/Cache/Driver/MemoryCacheDriver.php        |   30 +-
 src/main/php/PDepend/Util/Configuration.php        |   24 +-
 .../php/PDepend/Util/ConfigurationInstance.php     |    8 +-
 .../php/PDepend/Util/Coverage/CloverReport.php     |   18 +-
 src/main/php/PDepend/Util/Coverage/Factory.php     |   12 +-
 src/main/php/PDepend/Util/Coverage/Report.php      |    8 +-
 src/main/php/PDepend/Util/FileUtil.php             |   14 +-
 src/main/php/PDepend/Util/IdBuilder.php            |   28 +-
 src/main/php/PDepend/Util/ImageConvert.php         |   13 +-
 src/main/php/PDepend/Util/Log.php                  |    6 +-
 src/main/php/PDepend/Util/MathUtil.php             |    6 +-
 src/main/php/PDepend/Util/Type.php                 |   14 +-
 src/main/php/PDepend/Util/Utf8Util.php             |   74 ++
 src/main/php/PDepend/Util/Workarounds.php          |    8 +-
 src/main/resources/services.xml                    |   20 +-
 src/site/docx/changes.xml                          |  305 +++++
 src/site/resources/news/release.rst.in             |   62 ++
 src/site/resources/news/stylesheet.xsl             |   45 +
 src/site/rst/documentation/getting-started.rst     |    2 +-
 .../documentation/handbook/configuration/index.rst |    5 +-
 src/site/rst/documentation/handbook/index.rst      |    2 -
 .../documentation/handbook/installation/.index.xml |    6 +-
 .../documentation/handbook/installation/index.rst  |   13 +-
 .../handbook/installation/parts/.index.xml         |    4 -
 .../installation/parts/composer-abstract.rst       |    2 +-
 .../installation/parts/github-abstract.rst         |    2 +-
 .../handbook/installation/parts/pear-abstract.rst  |   14 -
 .../handbook/installation/parts/pear.rst           |   48 -
 .../handbook/installation/parts/phar-abstract.rst  |    2 +-
 .../handbook/installation/pear-installer.rst       |   15 -
 .../handbook/installation/phar-archive.rst         |    4 +-
 .../handbook/introduction/parts/introduction.rst   |    2 +-
 .../handbook/reports/parts/a-i-chart.rst           |    2 +-
 .../handbook/reports/parts/overview-pyramid.rst    |    4 +-
 .../rst/documentation/software-metrics/index.rst   |    6 +-
 .../software-metrics/parts/afferent-coupling.rst   |   10 +-
 .../parts/class-interface-size.rst                 |   16 +-
 .../software-metrics/parts/class-size.rst          |   10 +-
 .../parts/coupling-between-objects.rst             |    4 +-
 .../parts/cyclomatic-complexity.rst                |   16 +-
 .../software-metrics/parts/efferent-coupling.rst   |   14 +-
 .../parts/number-of-public-methods.rst             |    2 +-
 .../parts/weighted-method-count.rst                |    6 +-
 src/site/rst/download/index.rst                    |    5 -
 src/site/rst/news/.blog.xml                        |  147 ++-
 src/site/rst/news/pdepend-2.0.2-released.rst       |   51 +
 src/site/rst/news/pdepend-2.0.3-released.rst       |   51 +
 src/site/rst/news/pdepend-2.0.4-released.rst       |   60 +
 src/site/rst/news/pdepend-2.0.5-released.rst       |   60 +
 src/site/rst/news/pdepend-2.0.6-released.rst       |   60 +
 src/site/rst/news/pdepend-2.1.0-released.rst       |   60 +
 src/site/rst/news/pdepend-2.2.0-released.rst       |   60 +
 src/site/rst/news/pdepend-2.2.1-released.rst       |   60 +
 src/site/rst/news/pdepend-2.2.2-released.rst       |   60 +
 src/site/rst/news/pdepend-2.2.3-released.rst       |   60 +
 src/site/rst/news/pdepend-2.2.4-released.rst       |   60 +
 src/site/rst/news/pdepend-2.2.6-released.rst       |   60 +
 src/site/rst/news/pdepend-2.3.0-released.rst       |   60 +
 src/site/rst/news/pdepend-2.3.1-released.rst       |   60 +
 src/site/rst/news/pdepend-2.3.2-released.rst       |   60 +
 src/site/rst/news/pdepend-2.4.0-released.rst       |   62 ++
 src/site/rst/news/pdepend-2.4.1-released.rst       |   62 ++
 src/site/rst/news/pdepend-2.5.0-released.rst       |   62 ++
 src/site/rst/news/release_announcement_0.9.11.rst  |    2 +-
 src/test/php/PDepend/AbstractTest.php              |  142 ++-
 src/test/php/PDepend/ApplicationTest.php           |    6 +-
 .../php/PDepend/Bugs/AbstractRegressionTest.php    |   20 +-
 .../Bugs/AlternativeSyntaxClosingTagBug163Test.php |    8 +-
 .../Bugs/ClassAndInterfaceNamesBug169Test.php      |   18 +-
 ...rayDefaultValueResultsInExceptionBug091Test.php |    8 +-
 .../Bugs/ClassDeclarationWithoutBodyBug065Test.php |   22 +-
 ...terfaceSizeShouldNotSumComplexityBug176Test.php |   10 +-
 .../Bugs/ClassLevelAnalyzerBug09936901Test.php     |    8 +-
 ...loneIsValidNameInOlderPhpVersionsBug182Test.php |   14 +-
 .../PDepend/Bugs/ClosureAsArrayElement126Test.php  |    6 +-
 .../Bugs/ClosureResultsInExceptionBug070Test.php   |   20 +-
 .../Bugs/ClosureReturnsByReferenceBug094Test.php   |    8 +-
 .../Bugs/ComplexStringParsingBug114Test.php        |   22 +-
 .../php/PDepend/Bugs/ConflictingImportTest.php     |   53 +
 .../PDepend/Bugs/CouplingAnalyzerBug014Test.php    |    8 +-
 .../PDepend/Bugs/DefaultNamespaceBug106Test.php    |    6 +-
 ...ultPackageContainsBrokenAritfactsBug098Test.php |   44 +-
 ...mptyExceptionMessageInPHP52HelperBug149Test.php |   10 +-
 .../EndLessLoopBetweenForParentClassBug152Test.php |   20 +-
 .../Bugs/EndlessInheritanceBug18459091Test.php     |    8 +-
 ...hFilterShouldFilterByAbsolutePathBug191Test.php |    6 +-
 .../Bugs/InconsistentObjectGraphBug073Test.php     |   22 +-
 .../Bugs/IncorrectPropertyEndlineBug068Test.php    |   14 +-
 ...eratorShouldOnlyFilterOnLocalPathBug164Test.php |   12 +-
 ...anceOfExpressionReferenceHandlingBug062Test.php |   10 +-
 .../Bugs/InvalidNowdocSubstitutionBug150Test.php   |    8 +-
 ...ultWhenFunctionReturnsByReferenceBug004Test.php |   10 +-
 ...dTokenObjectOperatorInForeachLoopBug161Test.php |   18 +-
 ...ordFunctionNameResultsInExceptionBug116Test.php |   16 +-
 ...edAbstractAreCountedAsOverwrittenBug118Test.php |   10 +-
 ...athComplexityIsBrokenInVersion096Bug095Test.php |    8 +-
 ...tHandledCorrectByCouplingAnalyzerBug090Test.php |   16 +-
 ...mespaceKeywordInParameterTypeHintBug102Test.php |    6 +-
 ...NamespacedConstsAndFunctionsBug00000247Test.php |  124 +++
 .../php/PDepend/Bugs/PHPDependBug13405179Test.php  |   10 +-
 .../Bugs/ParameterStringDefaultValueBug103Test.php |    8 +-
 .../ParentKeywordAsParameterTypeHintBug087Test.php |   12 +-
 src/test/php/PDepend/Bugs/ParserBug001Test.php     |    8 +-
 src/test/php/PDepend/Bugs/ParserBug006Test.php     |    8 +-
 src/test/php/PDepend/Bugs/ParserBug007Test.php     |    8 +-
 src/test/php/PDepend/Bugs/ParserBug008Test.php     |    8 +-
 src/test/php/PDepend/Bugs/ParserBug015Test.php     |    8 +-
 src/test/php/PDepend/Bugs/ParserBug016Test.php     |    6 +-
 src/test/php/PDepend/Bugs/ParserBug017Test.php     |    6 +-
 src/test/php/PDepend/Bugs/ParserBug030Test.php     |    8 +-
 src/test/php/PDepend/Bugs/ParserBug033Test.php     |   10 +-
 src/test/php/PDepend/Bugs/ParserBug059Test.php     |   18 +-
 src/test/php/PDepend/Bugs/ParserBug069Test.php     |    8 +-
 src/test/php/PDepend/Bugs/ParserBug124Test.php     |    4 +-
 .../php/PDepend/Bugs/ParserBug17264279Test.php     |   22 +-
 .../php/PDepend/Bugs/ParserBug21500611Test.php     |   10 +-
 .../php/PDepend/Bugs/ParserBug23905939Test.php     |   10 +-
 .../php/PDepend/Bugs/ParserBug23951621Test.php     |    2 +-
 src/test/php/PDepend/Bugs/ParserBug8927377Test.php |    8 +-
 .../Bugs/ParserKeywordAsConstantNameBug76Test.php  |    8 +-
 .../ParserSetsIncorrectStartLineBug101Test.php     |   10 +-
 .../ReconfigureXdebugMaxNestingLevelBug133Test.php |   10 +-
 .../ShortArraySyntaxInitializerBug00000104Test.php |   10 +-
 ...nedDefaultValueResultsInExceptionBug071Test.php |   12 +-
 .../StringWithDollarStringLiteralBug162Test.php    |    8 +-
 ...tContainsClassesWithoutSourceFileBug115Test.php |    6 +-
 ...CommaSeparatedConstantDefinitionsBug082Test.php |   12 +-
 ...ommaSeparatedPropertyDeclarationsBug081Test.php |   12 +-
 .../Bugs/TokenizerKeywordSubstitutionBug76Test.php |    6 +-
